eng	y_fit
13.58	0.17244
13.59	0.17219
13.6	0.17193
13.61	0.17168
13.62	0.17143
13.63	0.17118
13.64	0.17093
13.65	0.17068
13.66	0.17043
13.67	0.17018
13.68	0.16993
13.69	0.16968
13.7	0.16943
13.71	0.16918
13.72	0.16893
13.73	0.16869
13.74	0.16844
13.75	0.1682
13.76	0.16795
13.77	0.16771
13.78	0.16746
13.79	0.16722
13.8	0.16697
13.81	0.16673
13.82	0.16649
13.83	0.16625
13.84	0.166
13.85	0.16576
13.86	0.16552
13.87	0.16528
13.88	0.16504
13.89	0.1648
13.9	0.16456
13.91	0.16432
13.92	0.16409
13.93	0.16385
13.94	0.16361
13.95	0.16338
13.96	0.16314
13.97	0.1629
13.98	0.16267
13.99	0.16243
14.0	0.1622
14.01	0.16196
14.02	0.16173
14.03	0.1615
14.04	0.16127
14.05	0.16103
14.06	0.1608
14.07	0.16057
14.08	0.16034
14.09	0.16011
14.1	0.15988
14.11	0.15965
14.12	0.15942
14.13	0.15919
14.14	0.15896
14.15	0.15873
14.16	0.15851
14.17	0.15828
14.18	0.15805
14.19	0.15783
14.2	0.1576
14.21	0.15738
14.22	0.15715
14.23	0.15693
14.24	0.1567
14.25	0.15648
14.26	0.15626
14.27	0.15603
14.28	0.15581
14.29	0.15559
14.3	0.15537
14.31	0.15515
14.32	0.15493
14.33	0.15471
14.34	0.15449
14.35	0.15427
14.36	0.15405
14.37	0.15383
14.38	0.15361
14.39	0.15339
14.4	0.15318
14.41	0.15296
14.42	0.15274
14.43	0.15253
14.44	0.15231
14.45	0.1521
14.46	0.15188
14.47	0.15167
14.48	0.15145
14.49	0.15124
14.5	0.15103
14.51	0.15081
14.52	0.1506
14.53	0.15039
14.54	0.15018
14.55	0.14997
14.56	0.14976
14.57	0.14955
14.58	0.14934
14.59	0.14913
14.6	0.14892
14.61	0.14871
14.62	0.1485
14.63	0.14829
14.64	0.14808
14.65	0.14788
14.66	0.14767
14.67	0.14746
14.68	0.14726
14.69	0.14705
14.7	0.14685
14.71	0.14664
14.72	0.14644
14.73	0.14623
14.74	0.14603
14.75	0.14583
14.76	0.14562
14.77	0.14542
14.78	0.14522
14.79	0.14502
14.8	0.14481
14.81	0.14461
14.82	0.14441
14.83	0.14421
14.84	0.14401
14.85	0.14381
14.86	0.14361
14.87	0.14341
14.88	0.14322
14.89	0.14302
14.9	0.14282
14.91	0.14262
14.92	0.14243
14.93	0.14223
14.94	0.14203
14.95	0.14184
14.96	0.14164
14.97	0.14145
14.98	0.14125
14.99	0.14106
15.0	0.14086
15.01	0.14067
15.02	0.14048
15.03	0.14028
15.04	0.14009
15.05	0.1399
15.06	0.13971
15.07	0.13952
15.08	0.13932
15.09	0.13913
15.1	0.13894
15.11	0.13875
15.12	0.13856
15.13	0.13837
15.14	0.13819
15.15	0.138
15.16	0.13781
15.17	0.13762
15.18	0.13743
15.19	0.13725
15.2	0.13706
15.21	0.13687
15.22	0.13669
15.23	0.1365
15.24	0.13632
15.25	0.13613
15.26	0.13595
15.27	0.13576
15.28	0.13558
15.29	0.13539
15.3	0.13521
15.31	0.13503
15.32	0.13484
15.33	0.13466
15.34	0.13448
15.35	0.1343
15.36	0.13412
15.37	0.13394
15.38	0.13376
15.39	0.13358
15.4	0.1334
15.41	0.13322
15.42	0.13304
15.43	0.13286
15.44	0.13268
15.45	0.1325
15.46	0.13232
15.47	0.13215
15.48	0.13197
15.49	0.13179
15.5	0.13161
15.51	0.13144
15.52	0.13126
15.53	0.13109
15.54	0.13091
15.55	0.13074
15.56	0.13056
15.57	0.13039
15.58	0.13021
15.59	0.13004
15.6	0.12987
15.61	0.12969
15.62	0.12952
15.63	0.12935
15.64	0.12918
15.65	0.129
15.66	0.12883
15.67	0.12866
15.68	0.12849
15.69	0.12832
15.7	0.12815
15.71	0.12798
15.72	0.12781
15.73	0.12764
15.74	0.12747
15.75	0.1273
15.76	0.12714
